quine	time	sincelast
739	973315.646	6019.04
740	974408.891	1093.245
741	974909.721	500.83
742	977268.299	2358.578
743	986435.672	9167.373
744	987509.834	1074.162
745	987588.743	78.909
746	993087.264	5498.521
747	995487.092	2399.828
748	996717.164	1230.072
749	999327.434	2610.27
750	999530.281	202.847
751	1008327.648	8797.367
752	1015119.314	6791.666
753	1016671.261	1551.947
754	1017302.624	631.363
755	1017731.196	428.572
756	1018782.636	1051.44
757	1023949.998	5167.362
758	1026803.533	2853.535
759	1027155.167	351.634
760	1029574.502	2419.335
761	1030877.614	1303.112
762	1049391.0159999998	18513.402
763	1050738.226	1347.21
764	1053924.683	3186.457
765	1056317.5899999999	2392.907
766	1066052.743	9735.153
767	1070190.669	4137.9259999999995
768	1076903.744	6713.075
769	1087986.884	11083.14
770	1093909.598	5922.714
771	1096563.767	2654.169
772	1100347.348	3783.581
773	1110821.999	10474.651
774	1123316.165	12494.166
775	1123883.481	567.316
776	1130527.396	6643.915
777	1131677.711	1150.315
778	1135113.729	3436.018
779	1152171.506	17057.777
780	1179465.924	27294.418
781	1179570.301	104.377
782	1180766.345	1196.044
783	1181966.05	1199.705
784	1182145.974	179.924
785	1183546.487	1400.513
786	1185744.812	2198.325
787	1189677.247	3932.435
788	1189813.498	136.251
789	1190377.2850000001	563.787
790	1194470.903	4093.618
791	1215051.374	20580.471
792	1216358.856	1307.482
793	1222480.157	6121.301
794	1240380.217	17900.059999999998
795	1249566.46	9186.243
796	1250280.164	713.704
797	1262722.087	12441.923
798	1266247.061	3524.974
799	1269348.619	3101.558
800	1270680.999	1332.38
801	1271983.783	1302.784
802	1284776.934	12793.151
803	1294064.751	9287.817
804	1295782.932	1718.181
805	1296373.893	590.961
806	1306156.5350000001	9782.642
807	1307540.259	1383.724
808	1311063.33	3523.071
809	1319165.496	8102.166
810	1323198.299	4032.803
811	1329829.025	6630.726
812	1332992.214	3163.189
813	1357140.754	24148.54
814	1360131.913	2991.159
815	1361485.731	1353.818
816	1371129.37	9643.639
817	1371694.032	564.662
818	1376089.066	4395.034
819	1398634.387	22545.321
820	1400125.736	1491.349
821	1403857.656	3731.92
822	1411918.958	8061.302
823	1423392.993	11474.035
824	1444733.677	21340.684
825	1454348.382	9614.705
826	1457554.012	3205.63
827	1458985.555	1431.543
828	1474176.381	15190.826
829	1486326.342	12149.961
830	1486905.028	578.686
831	1497737.942	10832.914
832	1499173.212	1435.27
833	1503212.069	4038.857
834	1523077.111	19865.042
835	1523507.259	430.148
836	1544111.948	20604.689
837	1552227.198	8115.25
838	1553309.075	1081.877
839	1553323.365	14.29
840	1554772.548	1449.183
841	1559287.93	4515.382
842	1560943.514	1655.584
843	1568295.733	7352.219
844	1568563.367	267.634
845	1569264.644	701.277
846	1574040.66	4776.016
847	1574072.528	31.868
848	1598512.499	24439.971
849	1602816.19	4303.691
850	1606856.888	4040.698
851	1628236.878	21379.99
852	1636941.688	8704.810000000001
853	1658566.38	21624.692
854	1662194.59	3628.21
855	1663651.277	1456.687
856	1679089.11	15437.833
857	1680000.294	911.184
858	1681188.057	1187.763
859	1685418.608	4230.551
860	1694022.681	8604.073
861	1694753.714	731.033
862	1696059.78	1306.066
863	1696639.656	579.876
864	1700677.572	4037.916
865	1705329.664	4652.092
866	1707151.76	1822.096
867	1707568.536	416.776
868	1714474.999	6906.463
869	1724177.585	9702.586
870	1725798.868	1621.283
871	1725831.101	32.233000000000004
872	1733542.289	7711.188
873	1740196.101	6653.812
874	1741776.145	1580.044
875	1756302.644	14526.499
876	1768727.797	12425.153
877	1772464.214	3736.417
878	1774162.674	1698.46
879	1778448.725	4286.051
880	1785327.475	6878.75
881	1786006.446	678.971
882	1791380.726	5374.28
883	1815156.76	23776.034
884	1815293.565	136.805
885	1817459.7	2166.135
886	1817809.746	350.046
887	1819371.594	1561.848
888	1819660.059	288.46500000000003
889	1822520.299	2860.24
890	1824032.971	1512.672
891	1841159.2	17126.229
892	1847047.217	5888.017
893	1859713.155	12665.938
894	1860295.108	581.953
895	1872099.34	11804.232
896	1879148.13	7048.79
897	1883389.61	4241.48
898	1887103.026	3713.416
899	1888911.905	1808.879
900	1906901.872	17989.967
901	1924456.253	17554.381
902	1925028.248	571.995
903	1934444.988	9416.74
904	1936210.803	1765.815
905	1940984.881	4774.078
906	1964730.162	23745.281
907	2002197.359	37467.197
908	2002315.962	118.603
909	2004063.533	1747.571
910	2006317.995	2254.462
911	2008115.809	1797.814
912	2019929.564	11813.755
913	2020238.348	308.784
914	2020819.174	580.826
915	2022104.32	1285.146
916	2026721.055	4616.735000000001
917	2055208.981	28487.926
918	2057083.367	1874.386
919	2061896.865	4813.498
920	2084163.936	22267.071
921	2086775.654	2611.718
922	2102862.473	16086.819
923	2120905.8940000003	18043.421
924	2121957.139	1051.245
925	2125927.851	3970.712
926	2129959.577	4031.726
927	2131866.461	1906.884
928	2150935.52	19069.059
929	2167261.667	16326.147
930	2169674.418	2412.751
931	2170302.961	628.543
932	2180764.159	10461.198
933	2182653.314	1889.155
934	2190728.061	8074.747
935	2202144.572	11416.511
936	2204073.777	1929.205
937	2216615.76	12541.983
938	2220672.55	4056.79
939	2231495.048	10822.498
940	2250392.835	18897.787
941	2252087.654	1694.819
942	2253707.556	1619.902
943	2258081.6950000003	4374.139
944	2263059.831	4978.136
945	2272881.638	9821.807
946	2273520.903	639.265
947	2278162.763	4641.860000000001
948	2279685.785	1523.022
949	2300857.652	21171.867
950	2302638.766	1781.114
951	2304412.113	1773.347
952	2312998.631	8586.518
953	2314906.136	1907.505
954	2320211.948	5305.812
955	2346702.956	26491.008
956	2364292.458	17589.502
957	2375519.034	11226.576
958	2388410.477	12891.443
959	2392572.0	4161.523
960	2394762.876	2190.876
961	2414564.8049999997	19801.929
962	2415138.206	573.401
963	2434584.711	19446.504999999997
964	2435444.77	860.059
965	2446480.146	11035.376
966	2448388.043	1907.897
967	2453429.157	5041.114
968	2453723.191	294.034
969	2470597.264	16874.073
970	2476112.612	5515.348
971	2476721.7800000003	609.168
972	2481328.6799999997	4606.9
973	2488881.887	7553.207
974	2501098.715	12216.828
975	2505581.508	4482.793
976	2523010.315	17428.807
977	2524311.594	1301.279
978	2524527.3449999997	215.751
979	2526727.072	2199.727
980	2529162.335	2435.263
981	2531141.96	1979.625
982	2544749.677	13607.717
983	2545028.982	279.305
984	2545707.956	678.974
985	2552475.264	6767.308
986	2556271.367	3796.103
987	2588401.117	32129.75
988	2589465.784	1064.667
989	2590722.848	1257.064
990	2595764.697	5041.849
991	2596507.0549999997	742.358
992	2604460.458	7953.403
993	2608109.923	3649.465
994	2621657.5700000003	13547.647
995	2624879.9850000003	3222.415
996	2628082.335	3202.35
997	2628511.1550000003	428.82
998	2641542.85	13031.695
999	2654158.333	12615.483
1000	2654193.896	35.563
1001	2656613.116	2419.2200000000003
1002	2669575.584	12962.468
1003	2673999.94	4424.356
1004	2674443.925	443.985
1005	2676685.386	2241.461
1006	2685115.72	8430.334
1007	2690349.969	5234.249
1008	2698572.126	8222.157
1009	2716985.248	18413.122
